FIPS,ABBREVIATION,NAME,DIVISION
1,AL,Alabama,6
2,AK,Alaska,9
4,AZ,Arizona,8
5,AR,Arkansas,7
6,CA,California,9
8,CO,Colorado,8
9,CT,Connecticut,1
10,DE,Delaware,5
11,DC,District of Columbia,5
12,FL,Florida,5
13,GA,Georgia,5
15,HI,Hawaii,9
16,ID,Idaho,8
17,IL,Illinois,3
18,IN,Indiana,3
19,IA,Iowa,4
20,KS,Kansas,4
21,KY,Kentucky,6
22,LA,Louisiana,7
23,ME,Maine,1
24,MD,Maryland,5
25,MA,Massachusetts,1
26,MI,Michigan,3
27,MN,Minnesota,4
28,MS,Mississippi,6
29,MO,Missouri,4
30,MT,Montana,8
31,NE,Nebraska,4
32,NV,Nevada,8
33,NH,New Hampshire,1
34,NJ,New Jersey,2
35,NM,New Mexico,8
36,NY,New York,2
37,NC,North Carolina,5
38,ND,North Dakota,4
39,OH,Ohio,3
40,OK,Oklahoma,7
41,OR,Oregon,9
42,PA,Pennsylvania,2
44,RI,Rhode Island,1
45,SC,South Carolina,5
46,SD,South Dakota,4
47,TN,Tennessee,6
48,TX,Texas,7
49,UT,Utah,8
50,VT,Vermont,1
51,VA,Virginia,5
53,WA,Washington,9
54,WV,West Virginia,5
55,WI,Wisconsin,3
56,WY,Wyoming,8
60,AS,American Samoa,0
66,GU,Guam,0
69,MP,Northern Mariana Islands,0
72,PR,Puerto Rico,0
74,UM,U.S. Minor Outlying Islands,0
78,VI,U.S. Virgin Islands,0